No.,Time,Source,Destination,Protocol,Length,Offset,Value,Info
24,0.408448,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,85,1,316b6f5a50703972655f564a7a45555f444e6e73537635786a3851554f5774644c33666a645f6c4c4a434c5562634d633443514879416c4648,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 1"
386,9.458499,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,35,1,7063544e72576f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 1"
870,21.558473,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,33,3,74317a5567,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 3"
1072,26.608485,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,33,4,667b6a7445,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 4"
1152,28.608496,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,6,6f31,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 6"
1192,29.608487,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,6,62,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 6"
1596,39.70848,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,8,55,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 8"
64,1.408439,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,74,11,53737447325433564f65427a58756637766265355a5948666d675a5f455676695248364c626b67566643554b6e44,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 11"
104,2.408429,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,63,11,4c6a554c684c6b6850494c4658425233467463734f5778764b6e317072745a66643067,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 11"
426,10.45849,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,32,11,78467054,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 11"
548,13.50849,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,31,11,696533,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 11"
1516,37.708498,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,11,74,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 11"
184,4.408441,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,59,16,5731476d30414e615951546c30753954566c724e7874747765565138423676,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 16"
266,6.458498,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,39,16,3643304449624964506d5f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 16"
588,14.50848,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,37,16,7551595f4937677835,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 16"
628,15.508471,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,16,5f4a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 16"
668,16.508492,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,17,6973,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 17"
710,17.558481,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,34,20,626175525736,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 20"
750,18.558471,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,31,22,44385f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 22"
1434,35.658489,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,22,34,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 22"
1556,38.708489,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,23,64,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 23"
1394,34.658499,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,25,34,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 25"
1354,33.658477,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,27,79,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 27"
226,5.45843,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,44,30,486f5542526167794d79364259373878,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 30"
346,8.458479,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,30,5f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 30"
1112,27.608476,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,31,6a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 31"
306,7.458488,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,42,33,4871726749744d6b5164646c445f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 33"
468,11.508478,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,39,33,6837783034664f34437274,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 33"
1676,41.708491,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,33,73,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 33"
790,19.558492,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,38,35,6251433272327a68306c,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 35"
950,23.558485,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,35,35,67757734514874,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 35"
1314,32.658487,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,32,35,5f534541,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 35"
1716,42.708482,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,32,36,34736970,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 36"
1758,43.75847,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,38,6b,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 38"
1798,44.758491,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,39,5f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 39"
992,24.608474,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,41,7272,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 41"
1476,36.708478,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,41,41,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 41"
144,3.40845,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,38,48,315539307a4454306d5a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 48"
508,12.508499,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,36,50,3053703037743070,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
830,20.558483,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,31,50,6b654f,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
1032,25.608494,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,30,50,3374,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
1234,30.658475,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,50,33,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 50"
910,22.558494,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,31,55,687d71,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 55"
1274,31.658497,Unknown_0xe9e40ad3,Unknown_0xe9e40ad3,ATT,29,57,0a,"UnknownDirection Prepare Write Request, Handle: 0x0012 (Unknown: Unknown), Offset: 57"
